Population Share,Free Market,Welfare Society,Egalitarian Utopia
0.38,0.007315736373008457,0.11540627491639441,0.24664970456678537
0.381,0.007335261620289796,0.11591162087427671,0.24746220952729645
0.382,0.0073547878324445905,0.116417446599276,0.2482759505105452
0.383,0.00737431605237495,0.11692445047567096,0.24909037905818066
0.384,0.0073938460382883325,0.11743263561204967,0.24990488546255923
0.385,0.007413377580754143,0.1179412756028278,0.2507195531355939
0.386,0.007432912898858628,0.11845004943571058,0.2515345289712571
0.387,0.007452448314968443,0.11895924034168817,0.2523500377112271
0.388,0.007471985061603747,0.11946908296878446,0.25316609344083935
0.389,0.0074915218880332495,0.11998011050056097,0.2539822958884438
0.39,0.007511060599673809,0.12049139607962804,0.2548001751595962
0.391,0.007530599350425001,0.1210041267866276,0.2556187591234714
0.392,0.007550138107834012,0.12151723629157579,0.2564379191256638
0.393,0.007569677760613515,0.12203051346770231,0.2572576725507047
0.394,0.00758921875165814,0.12254555119009745,0.25807766679802246
0.395,0.007608759790763663,0.1230611055721156,0.25889795820584555
0.396,0.007628302794703993,0.12357695491814351,0.2597183572032336
0.397,0.007647846993341417,0.12409337017656631,0.2605411935260632
0.398,0.007667394653236483,0.12461093594608054,0.2613650196330315
0.399,0.007686945324006582,0.1251290117279971,0.26218923543299916
0.4,0.00770649649218,0.1256478567976144,0.26301376263604065
0.401,0.00772604945717338,0.1261683198528797,0.2638385240970663
0.402,0.00774560466429512,0.12668914229589345,0.2646633096015728
0.403,0.007765161037735411,0.12721040698388345,0.2654898665276122
0.404,0.0077847180643207505,0.12773205913010993,0.2663173632151897
0.405,0.007804275522580387,0.12825446833673337,0.2671453685922969
0.406,0.007823833201489779,0.12877768032186482,0.2679741615200528
0.407,0.007843391754865776,0.12930123039055236,0.2688037431559673
0.408,0.007862950426069947,0.12982642966456748,0.26963361545355863
0.409,0.00788250967087468,0.13035183785985602,0.27046406025578235
0.41,0.007902071031881175,0.13087734771452228,0.2712954184460262
0.411,0.007921632622436439,0.13140313885100727,0.2721273034773528
0.412,0.00794119495132982,0.131931016214503,0.2729592614952357
0.413,0.007960757561270005,0.13245893374865905,0.27379256343001024
0.414,0.007980321573445607,0.132987285426021,0.27462600036673385
0.415,0.007999886858179189,0.13351586452344644,0.2754595438779499
0.416,0.008019452752639447,0.1340450389214927,0.2762949345117593
0.417,0.008039021418531477,0.13457528183168144,0.2771304078519125
0.418,0.008058590438963295,0.13510591642461053,0.27796598931128313
0.419,0.008078162486368574,0.1356377013409987,0.27880443535270716
0.42,0.008097734897027888,0.13617104818755332,0.2796434175789905
0.421,0.008117308569426959,0.13670495588294893,0.2804835721668099
0.422,0.008136886264789502,0.1372389113126629,0.2813240841308924
0.423,0.008156464543802954,0.13777437961892677,0.28216637750286394
0.424,0.00817604296028582,0.13831009534539862,0.28300868938742296
0.425,0.008195621401682073,0.13884797192724005,0.28385147926665316
0.426,0.008215201618103057,0.13938616752473984,0.2846948155323468
0.427,0.008234785242049967,0.13992439076215374,0.285538184489631
0.428,0.008254370117673715,0.14046286109316383,0.2863825420095802
0.429,0.008273955455299119,0.14100169681951594,0.2872286729096961
0.43,0.008293542275194873,0.14154094921335722,0.28807557948912665
0.431,0.00831313074734838,0.1420806298755977,0.2889226955823696
0.432,0.008332719463264015,0.14262139514510996,0.28977289070847034
0.433,0.008352308942654508,0.14316227796041786,0.2906232883382678
0.434,0.008371899878798826,0.1437044103310757,0.2914746392506413
0.435,0.008391495864648511,0.1442468522333789,0.29232720146285823
0.436,0.008411092273857723,0.14479047639164694,0.29318055822088973
0.437,0.008430688745796344,0.14533436363738717,0.2940342738812634
0.438,0.008450285943019754,0.14587924327199414,0.2948884963380456
0.439,0.008469883272024498,0.1464248809649105,0.29574346691608594
0.44,0.008489481941893045,0.14697078707383543,0.2965988034413029
0.441,0.008509081118101352,0.14751829464447433,0.2974544073619804
0.442,0.008528680527827856,0.14806600755495752,0.29831046036215103
0.443,0.008548280155720593,0.14861450025957512,0.29916680399720097
0.444,0.00856788102867945,0.1491648552602677,0.3000233510871076
0.445,0.008587487286513951,0.14971576078326784,0.30088012449564216
0.446,0.008607093691792468,0.15026684413988295,0.3017388990155373
0.447,0.008626703441324773,0.15081826307112545,0.30259815638316406
0.448,0.008646315316547451,0.15136985053676744,0.3034575455194133
0.449,0.008665928928374327,0.15192234550784953,0.3043173613311129
0.45,0.008685542613470484,0.15247655907372162,0.30517719531474863
0.451,0.008705156668563353,0.15303220047914667,0.30603824163634985
0.452,0.008724771251939968,0.15358957847716734,0.3069034282003067
0.453,0.008744386308302902,0.15414748718711474,0.3077688803077267
0.454,0.008764002506177654,0.15470599405547897,0.308635125497563
0.455,0.008783619838286556,0.15526471659017696,0.3095014985479751
0.456,0.008803241282422401,0.15582414764593655,0.3103680127793513
0.457,0.008822862777758818,0.15638404557042274,0.31123474009635743
0.458,0.008842484714770572,0.15694478244023366,0.31210153498439697
0.459,0.008862108782885151,0.15750698422314724,0.3129687842055451
0.46,0.008881733390490879,0.15806986270847545,0.31383651857439687
0.461,0.008901359382418178,0.15863325783529397,0.3147049067502716
0.462,0.008920986578128844,0.1591968434551275,0.3155736649542638
0.463,0.008940613842303208,0.1597670393934175,0.3164425859153441
